	wave	flux
      3001.06  2.75136e-14
      3002.09  1.21926e-14
      3003.12 -7.88386e-15
      3004.15 -2.86340e-14
      3005.18  1.74145e-14
      3006.21 -4.43747e-16
      3007.24 -1.55866e-14
      3008.27 -1.50439e-15
      3009.30  6.21862e-14
      3010.33  5.05258e-15
      3011.36  3.56586e-15
      3012.39  2.01347e-15
      3013.42 -5.36420e-15
      3014.45  1.59688e-14
      3015.49  9.66140e-15
      3016.52 -3.40418e-15
      3017.55 -1.40548e-15
      3018.58  1.93041e-14
      3019.61 -1.33985e-14
      3020.64 -1.33091e-14
      3021.67  6.28916e-15
      3022.70 -1.02672e-14
      3023.74  5.73512e-15
      3024.77 -1.53307e-14
      3025.80 -1.83775e-14
      3026.83  2.28336e-15
      3027.86  2.92307e-15
      3028.89 -1.18880e-15
      3029.93  9.44552e-15
      3030.96 -6.37636e-15
      3031.99  7.24672e-16
      3033.02 -1.23616e-14
      3034.05  3.54670e-15
      3035.09  1.01141e-14
      3036.12  6.98851e-15
      3037.15  1.04305e-14
      3038.18  3.08455e-15
      3039.22  7.40030e-15
      3040.25 -6.12250e-15
      3041.28  1.02466e-15
      3042.31 -4.23472e-15
      3043.35  3.15879e-15
      3044.38  1.83429e-15
      3045.41 -3.33116e-15
      3046.45 -3.85150e-16
      3047.48 -2.00698e-15
      3048.51 -1.12854e-15
      3049.55 -8.86686e-16
      3050.58 -1.65339e-15
      3051.61  3.82426e-16
      3052.65 -6.74792e-15
      3053.68 -1.01590e-15
      3054.71 -8.69838e-15
      3055.75 -1.61078e-15
      3056.78  1.14081e-14
      3057.81 -1.64054e-14
      3058.85  4.82241e-15
      3059.88 -7.03872e-15
      3060.92 -4.71027e-15
      3061.95  1.16174e-14
      3062.98 -7.55041e-15
      3064.02  3.42191e-15
      3065.05 -1.07900e-14
      3066.09 -3.71293e-15
      3067.12 -1.51123e-14
      3068.16 -7.18911e-15
      3069.19  2.41475e-15
      3070.23  1.04591e-14
      3071.26 -4.21038e-15
      3072.30  4.15168e-15
      3073.33  9.51764e-16
      3074.37 -8.23381e-16
      3075.40  3.22535e-15
      3076.44 -6.86628e-15
      3077.47  1.52352e-15
      3078.51 -4.27522e-15
      3079.54  8.99648e-15
      3080.58 -2.89333e-15
      3081.61  5.36911e-16
      3082.65  2.21881e-15
      3083.68  2.62341e-15
      3084.72  8.24439e-15
      3085.75  5.56572e-15
      3086.79  4.84872e-15
      3087.83 -6.99991e-15
      3088.86 -9.61082e-15
      3089.90  4.23858e-16
      3090.93  2.50705e-15
      3091.97  4.37175e-15
      3093.01  9.18618e-16
      3094.04  2.41550e-15
      3095.08  1.07730e-15
      3096.12  4.47348e-15
      3097.15 -6.33274e-15
      3098.19 -2.09145e-15
      3099.23 -9.09761e-16
      3100.26  1.57281e-15
      3101.30  1.12022e-15
      3102.34 -4.43172e-15
      3103.37  5.64938e-15
      3104.41  7.63868e-15
      3105.45  3.81143e-17
      3106.48 -4.30313e-15
      3107.52  3.91810e-15
      3108.56  4.06191e-15
      3109.60  4.35021e-15
      3110.63 -5.70665e-15
      3111.67 -2.20884e-15
      3112.71  3.09312e-15
      3113.75  2.28459e-15
      3114.78 -3.97966e-15
      3115.82 -5.81752e-15
      3116.86 -4.99104e-15
      3117.90  2.83149e-15
      3118.93  1.70849e-16
      3119.97 -7.70761e-16
      3121.01  1.81574e-15
      3122.05 -4.27677e-16
      3123.09 -2.98638e-15
      3124.13 -3.18924e-15
      3125.16  4.23753e-16
      3126.20 -1.63553e-15
      3127.24  4.72338e-16
      3128.28 -7.21884e-16
      3129.32  1.71505e-15
      3130.36 -3.26233e-15
      3131.40 -3.52849e-15
      3132.43 -6.32883e-16
      3133.47  1.09846e-15
      3134.51 -3.54731e-16
      3135.55 -1.98076e-15
      3136.59  5.29462e-15
      3137.63  1.44738e-15
      3138.67  2.39314e-15
      3139.71 -1.11141e-15
      3140.75 -7.54254e-16
      3141.79  3.79163e-15
      3142.83  2.08093e-15
      3143.87  3.11971e-15
      3144.91  2.65325e-15
      3145.95  8.71180e-16
      3146.99  3.90410e-16
      3148.02  1.31454e-15
      3149.07 -3.60583e-16
      3150.10  2.69673e-15
      3151.15  8.17389e-16
      3152.19  2.00008e-15
      3153.23  7.03217e-16
      3154.27  2.48049e-15
      3155.31  1.39292e-15
      3156.35 -1.88619e-15
      3157.39  3.85362e-15
      3158.43  4.50691e-16
      3159.47  5.42334e-16
      3160.51 -6.95746e-16
      3161.55 -5.63770e-16
      3162.59  1.61899e-15
      3163.63  1.34918e-15
      3164.67 -2.55955e-15
      3165.71  2.23316e-15
      3166.75 -1.37600e-15
      3167.79 -1.59454e-16
      3168.84  7.16526e-16
      3169.88 -7.31897e-16
      3170.92  8.50313e-16
      3171.96  3.26548e-16
      3173.00 -1.25682e-15
      3174.04  3.84160e-16
      3175.08  6.00032e-16
      3176.13  2.96713e-16
      3177.17  7.67490e-16
      3178.21  2.61375e-16
      3179.25 -8.69361e-16
      3180.29  2.00842e-15
      3181.34 -1.29724e-15
      3182.38 -1.36047e-16
      3183.42  5.86575e-17
      3184.46  1.95003e-16
      3185.50 -5.30010e-16
      3186.55  3.57473e-16
      3187.59 -1.69315e-15
      3188.63 -7.63972e-16
      3189.67  2.46630e-15
      3190.72  1.01933e-15
      3191.76 -7.75204e-16
      3192.80  5.97193e-16
      3193.84 -1.39544e-15
      3194.89  1.72005e-15
      3195.93  8.16638e-16
      3196.97  3.59556e-16
      3198.02 -1.89363e-16
      3199.06 -5.53106e-16
      3200.10 -1.18218e-15
      3201.15 -1.26860e-16
      3202.19 -6.23905e-16
      3203.23 -3.07878e-15
      3204.28  1.61732e-15
      3205.32 -8.40342e-16
      3206.36  3.36861e-16
      3207.41 -1.27450e-16
      3208.45  3.18895e-16
      3209.49  1.18919e-15
      3210.54 -1.54391e-15
      3211.58  2.40944e-16
      3212.62 -2.20909e-15
      3213.67  9.56652e-16
      3214.71 -1.81152e-15
      3215.76  1.21746e-15
      3216.80 -1.34755e-16
      3217.85 -2.56354e-16
      3218.89 -4.86663e-16
      3219.93 -2.16294e-16
      3220.98  9.76933e-16
      3222.02 -1.03673e-15
      3223.07  1.30145e-15
      3224.11 -1.96665e-15
      3225.16 -7.12297e-16
      3226.20 -6.77709e-16
      3227.25 -3.75909e-16
      3228.29 -1.71457e-15
      3229.34  2.59818e-16
      3230.38  8.85435e-16
      3231.43 -1.02805e-15
      3232.47 -4.18136e-16
      3233.52  9.03761e-16
      3234.56  3.85039e-16
      3235.61  5.60211e-16
      3236.65 -1.19606e-15
      3237.70  3.14880e-16
      3238.74 -1.77297e-15
      3239.79  1.17534e-15
      3240.83  1.17975e-15
      3241.88 -6.26856e-16
      3242.93  1.32542e-15
      3243.97  6.80122e-16
      3245.02  2.27637e-16
      3246.06 -9.94895e-16
      3247.11  4.62473e-16
      3248.16  4.26111e-16
      3249.20  9.48695e-16
      3250.25 -1.06973e-15
      3251.29  6.25998e-16
      3252.34  2.02457e-17
      3253.39  1.97724e-15
      3254.43 -1.82828e-15
      3255.48 -7.04773e-16
      3256.53 -9.17241e-16
      3257.57  1.46831e-15
      3258.62  8.45590e-16
      3259.67  4.97301e-16
      3260.71 -3.89732e-16
      3261.76  5.73837e-16
      3262.81  1.99137e-15
      3263.85  4.76471e-16
      3264.90  1.59998e-16
      3265.95  7.15579e-16
      3267.00  1.12307e-15
      3268.04 -3.77105e-16
      3269.09 -1.43423e-16
      3270.14  8.76910e-16
      3271.19  3.87502e-16
      3272.23  1.14133e-16
      3273.28  4.95533e-16
      3274.33  1.54279e-15
      3275.38 -1.54879e-15
      3276.42  1.86457e-16
      3277.47 -6.30826e-16
      3278.52  1.50408e-15
      3279.57 -1.02385e-15
      3280.62  5.63918e-17
      3281.66 -2.53461e-16
      3282.71 -4.95794e-16
      3283.76 -3.35694e-16
      3284.81  1.91742e-16
      3285.86  4.19643e-16
      3286.90  3.84536e-16
      3287.95  7.12993e-16
      3289.00 -6.74590e-17
      3290.05  6.48170e-17
      3291.10 -2.08461e-17
      3292.15 -1.04445e-15
      3293.20  2.12023e-16
      3294.24  2.35181e-16
      3295.29  2.40746e-16
      3296.34 -7.47474e-16
      3297.39 -2.63923e-16
      3298.44 -1.38655e-15
      3299.49  1.55332e-16
      3300.54 -4.18226e-16
      3301.59  1.02896e-15
      3302.64 -4.71074e-16
      3303.69  2.00545e-15
      3304.74 -8.51133e-18
      3305.79  7.97251e-16
      3306.84  6.75120e-18
      3307.89  2.86654e-16
      3308.93  7.16902e-16
      3309.98  1.88727e-16
      3311.03 -3.94687e-16
      3312.08  3.82987e-16
      3313.13 -3.65467e-16
      3314.18 -1.06162e-15
      3315.23  9.03531e-16
      3316.28  4.69335e-16
      3317.33 -1.97305e-16
      3318.38 -1.98899e-16
      3319.43 -1.24285e-15
      3320.48  1.12946e-16
      3321.53  9.98533e-16
      3322.59  1.18176e-15
      3323.64  4.96990e-17
      3324.69 -8.23047e-16
      3325.74  7.57637e-16
      3326.79  9.56169e-16
      3327.84  5.14320e-16
      3328.89 -1.26801e-16
      3329.94 -6.68833e-17
      3330.99  1.09616e-16
      3332.04  6.74158e-16
      3333.09  8.61748e-16
      3334.14  5.23070e-16
      3335.20  4.40308e-16
      3336.25  1.33779e-16
      3337.30 -5.62186e-16
      3338.35  1.42031e-15
      3339.40 -4.81163e-16
      3340.45 -9.52762e-17
      3341.50 -4.53175e-16
      3342.55  2.32489e-16
      3343.61  3.01313e-16
      3344.66  1.13580e-16
      3345.71 -1.71856e-16
      3346.76  6.83907e-16
      3347.81 -3.47706e-16
      3348.87 -1.10944e-15
      3349.92 -4.20881e-16
      3350.97  3.26802e-16
      3352.02  5.42499e-16
      3353.07 -5.40318e-16
      3354.13  4.66926e-16
      3355.18  3.49796e-16
      3356.23 -2.61700e-16
      3357.28 -8.06637e-16
      3358.33 -6.55345e-17
      3359.39  1.77868e-16
      3360.44 -5.04859e-16
      3361.49  1.21133e-16
      3362.55  5.08407e-16
      3363.60 -7.27292e-16
      3364.65 -3.63918e-17
      3365.70 -9.89756e-16
      3366.76  2.67404e-16
      3367.81  2.99763e-16
      3368.86  1.24927e-16
      3369.92  1.18092e-16
      3370.97 -1.73087e-16
      3372.02  6.66632e-16
      3373.07 -6.18855e-16
      3374.13  1.26054e-16
      3375.18  6.48935e-16
      3376.23  1.03803e-15
      3377.29  1.61389e-16
      3378.34 -7.70459e-16
      3379.40 -3.03863e-16
      3380.45 -1.11582e-16
      3381.50 -6.31196e-17
      3382.56 -4.66643e-17
      3383.61 -1.54567e-16
      3384.66 -4.00121e-17
      3385.72  7.89162e-16
      3386.77 -4.67392e-16
      3387.83  2.63858e-17
      3388.88  1.22412e-15
      3389.93  6.70621e-16
      3390.99  6.63427e-16
      3392.04 -4.74939e-16
      3393.10 -2.75812e-16
      3394.15 -8.62981e-16
      3395.21 -3.94072e-16
      3396.26 -1.79070e-16
      3397.31  1.09893e-16
      3398.37 -4.64434e-16
      3399.42  2.42262e-16
      3400.48  4.35367e-16
      3401.53  8.10816e-17
      3402.59  5.07648e-16
      3403.64 -2.14754e-16
      3404.70  3.48103e-17
      3405.75 -3.61741e-16
      3406.81  3.62643e-16
      3407.86  2.14202e-16
      3408.92  5.26343e-16
      3409.97 -2.82174e-16
      3411.03 -4.12422e-16
      3412.08  1.04211e-16
      3413.14  8.70311e-16
      3414.20 -5.09612e-16
      3415.25 -1.14436e-16
      3416.31  1.08379e-16
      3417.36 -5.70854e-16
      3418.42  5.47622e-16
      3419.47  4.16744e-16
      3420.53 -7.81265e-16
      3421.58  1.20699e-16
      3422.64  9.37848e-17
      3423.70  2.31482e-16
      3424.75 -7.90193e-16
      3425.81 -3.64902e-16
      3426.86  8.59471e-17
      3427.92  2.83723e-17
      3428.98 -5.70661e-16
      3430.03  8.62495e-17
